regime,parameter,truth,estimate,sd,lower,upper,bias,rmse,coverage,width
Sparse,beta,0.3,0.293144949943309,0.062293658597922116,0.18400728923046353,0.4270895161830526,-0.00685505005669103,0.007086252032953839,1,0.24308222695258902
Sparse,c,0.95,0.9500436471453451,0.0062282833796568305,0.9372079983935461,0.9615066005378822,4.364714534512881e-5,1.5163864090939104e-4,1,0.02429860214433612
Sparse,eta_EE,0.08,0.07618628470425545,0.013440361545884046,0.05213534113145018,0.10455139459854429,-0.0038137152957445557,0.0038137152957445557,1,0.052416053467094104
Sparse,eta_EI,0.08,0.07618538249385053,0.013459182084046891,0.052184246239227,0.10475440871199525,-0.0038146175061494697,0.0038146175061494697,1,0.05257016247276825
Sparse,eta_ER,0.08,0.07621874610356341,0.013468070186441493,0.05225063596990359,0.10477328760274947,-0.0037812538964365917,0.0037812538964365917,1,0.052522651632845876
Sparse,eta_II,0.04,0.07617370028884536,0.013452276542226133,0.05220215564422588,0.10465333215841885,0.03617370028884537,0.03617370028884537,0,0.05245117651419297
Sparse,eta_IR,0.08,0.0761989009315865,0.013422380187100685,0.05222917496341082,0.10459414022168262,-0.0038010990684135024,0.0038010990684135024,1,0.0523649652582718
Sparse,eta_RR,0.08,0.07621359953711025,0.013461304648165324,0.05215964249976611,0.1047299256822583,-0.0037864004628897544,0.0037864004628897544,1,0.0525702831824922
Sparse,eta_SE,0.08,0.07620920862100312,0.013451893809911878,0.052197104083351105,0.10456874240366834,-0.0037907913789968785,0.0037907913789968785,1,0.052371638320317236
Sparse,eta_SI,0.05,0.07619702587984073,0.013475773306017251,0.05216881141261865,0.1047115720741735,0.026197025879840734,0.026197025879840734,0,0.05254276066155486
Sparse,eta_SR,0.08,0.07622280048493602,0.013474594380406565,0.052211353332614396,0.10476476783174918,-0.0037771995150639903,0.0037771995150639903,1,0.052553414499134775
Sparse,eta_SS,0.08,0.07619528598592362,0.013446892797714459,0.05220722547491023,0.10465922119582019,-0.003804714014076374,0.003804714014076374,1,0.05245199572090995
Sparse,gamma,0.25,0.26991121145218944,0.06544939492206142,0.1577007043082063,0.4132737637919361,0.01991121145218945,0.019923754742711984,1,0.25557305948372977
Sparse,kappa,0.4,0.3995527297935174,0.08873675236842754,0.2449409648838821,0.5912927569341566,-4.4727020648259577e-4,0.006513863424344391,1,0.3463517920502745
Sparse,omega_EE,0.03,0.07502723571877797,0.013703103926483873,0.050600184874734534,0.10404921958232836,0.04502723571877797,0.04502723571877797,0,0.05344903470759384
Sparse,omega_EI,0.03,0.07498104542850506,0.01368952872949435,0.0506809837093304,0.10400244471325369,0.04498104542850506,0.04498104542850506,0,0.05332146100392329
Sparse,omega_ER,0.03,0.07496712110207206,0.013677640467063962,0.05064450627265671,0.10402905765977868,0.04496712110207205,0.04496712110207205,0,0.053384551387121976
Sparse,omega_II,0.07,0.07499892156441217,0.013697982144271295,0.05064197512745182,0.1040780887003137,0.0049989215644121576,0.0049989215644121576,1,0.053436113572861876
Sparse,omega_IR,0.03,0.07499327172048992,0.01367935205820099,0.05066898276608206,0.10405673369628199,0.04499327172048992,0.04499327172048992,0,0.05338775093019993
Sparse,omega_RR,0.03,0.07498714065582274,0.013670427506189825,0.05070057174365488,0.10402220982740429,0.044987140655822745,0.044987140655822745,0,0.053321638083749415
Sparse,omega_SE,0.03,0.07500957921622983,0.01370278292833431,0.05065109280243357,0.10402280189474618,0.045009579216229834,0.045009579216229834,0,0.053371709092312605
Sparse,omega_SI,0.06,0.07500843612461938,0.013685928420614496,0.05065526920874479,0.1039834647766789,0.015008436124619388,0.015008436124619388,1,0.05332819556793412
Sparse,omega_SR,0.03,0.075020880836288,0.013693834980315397,0.05070826566979529,0.10403656410066366,0.045020880836287996,0.045020880836287996,0,0.05332829843086837
Sparse,omega_SS,0.03,0.07499594196163589,0.013691576661039314,0.050696856481208225,0.10407939762006506,0.044995941961635894,0.044995941961635894,0,0.053382541138856834
Sparse,p_E,0.6,0.6000603115199197,0.04636225646355794,0.5079498387436678,0.6889613984383077,6.0311519919687305e-5,0.002627746893379056,1,0.18101155969463986
Sparse,p_I,0.85,0.8363390931864756,0.034991817601855324,0.7625614389567996,0.8987613989370171,-0.013660906813524366,0.013660906813524366,1,0.13619995998021756
Sparse,s,0.9,0.9000082545958401,0.010465183967173863,0.8786677310690234,0.9195415880290577,8.254595840050838e-6,2.6567227473796496e-4,1,0.04087385696003441
Sparse,xi,0.05,0.06248945792141162,0.019688311661728224,0.030032736626220555,0.10658384622457268,0.012489457921411616,0.012489457921411616,1,0.07655110959835212
