parameter,mean,median,sd,lower,upper,truth,bias,rmse,coverage,width,regime,replicate,start
p_I,0.8320353765293355,0.8309492936394072,0.03468030999680605,0.77099144307257494,0.9038555187195402,0.85,-0.01796462347066452,0.01796462347066452,TRUE,0.13286407564696523,High,1,high
s,0.8992425167444617,0.9000069101756845,0.010540379949716197,0.8767432554854645,0.9172413355608013,0.9,-7.574832555383715e-4,7.574832555383715e-4,TRUE,0.04049808007533684,High,1,high
tau_EE,0.07223816702543796,0.07245987917975161,0.013310536780551467,0.048766823651239265,0.10160102959640646,0.03,0.042238167025437964,0.042238167025437964,FALSE,0.0528342059451672,High,1,high
tau_EI,0.07301428792858766,0.07170787094145256,0.013560777635100925,0.05128964429003623,0.10151408074418432,0.03,0.04301428792858766,0.04301428792858766,FALSE,0.050224436454148084,High,1,high
tau_ER,0.0742398109117612,0.07485298847754866,0.013536973231904573,0.04980215948045065,0.09916839496256502,0.03,0.0442398109117612,0.0442398109117612,FALSE,0.04936623548211437,High,1,high
tau_II,0.07598018588280385,0.0768806271125397,0.012722870774647278,0.05328190926374731,0.0991008350549146,0.07,0.005980185882803843,0.005980185882803843,TRUE,0.04581892579116729,High,1,high
tau_IR,0.07231141338868922,0.07194092799844526,0.012825577384074634,0.05213794654696934,0.10120828036373658,0.03,0.042311413388689226,0.042311413388689226,FALSE,0.04907033381676724,High,1,high
tau_RR,0.07451807835516246,0.0734231285537531,0.012019928430509513,0.053612361659263065,0.09717645146311761,0.03,0.04451807835516246,0.04451807835516246,FALSE,0.043564089803854546,High,1,high
tau_SE,0.07652655750279036,0.07549620068706317,0.015482098394998369,0.051538050613630385,0.11176898073367134,0.03,0.04652655750279036,0.04652655750279036,FALSE,0.06023093012004095,High,1,high
tau_SI,0.07317039581102161,0.07371378744815446,0.012634095127760264,0.05032581399682974,0.0954798970824138,0.06,0.013170395811021612,0.013170395811021612,TRUE,0.045154083085584065,High,1,high
tau_SR,0.07611902727859637,0.07610815591329909,0.013311211343179414,0.05335269862819146,0.10167391068224597,0.03,0.046119027278596375,0.046119027278596375,FALSE,0.04832121205405451,High,1,high
tau_SS,0.07700997571619966,0.07596883728723089,0.013773137993735935,0.05229678619284618,0.10814357576035111,0.03,0.047009975716199665,0.047009975716199665,FALSE,0.055846789567504926,High,1,high
xi,0.05905965560560406,0.059073825891475626,0.016347310057066893,0.029404100392175805,0.09391894053977927,0.05,0.00905965560560406,0.00905965560560406,TRUE,0.06451484014760346,High,1,high
beta,0.28727196183885195,0.28454610298159505,0.05445143452316485,0.1861313319880465,0.3978196756061397,0.3,-0.012728038161148036,0.012728038161148036,TRUE,0.2116883436180932,High,2,low
c,0.9507241606774854,0.9513587372455107,0.00607303920439567,0.9376194313864259,0.9614190640437379,0.95,7.241606774854858e-4,7.241606774854858e-4,TRUE,0.023799632657311998,High,2,low
eta_EE,0.0764118475748553,0.0742488586175529,0.015104156330334427,0.05069819608119421,0.11365406393287411,0.08,-0.0035881524251447083,0.0035881524251447083,TRUE,0.06295586785167989,High,2,low
eta_EI,0.07696045418783182,0.07516108936919333,0.01468808386995357,0.0525826105367769,0.11214366697418134,0.08,-0.0030395458121681845,0.0030395458121681845,TRUE,0.05956105643740443,High,2,low
eta_ER,0.07589456663821598,0.0767869916068334,0.011597920365532623,0.054828425848339,0.09888762123695197,0.08,-0.004105433361784025,0.004105433361784025,TRUE,0.044059195388612964,High,2,low
eta_II,0.07757291248883816,0.07661261650540846,0.013960311386320968,0.05307898775433871,0.10491433375570125,0.04,0.03757291248883816,0.03757291248883816,FALSE,0.05183534600136254,High,2,low
eta_IR,0.07745371200139699,0.07603423574925997,0.014348555120738455,0.0530867788956443,0.11028069083096911,0.08,-0.002546287998603014,0.002546287998603014,TRUE,0.05719391193532481,High,2,low
eta_RR,0.0807773836644063,0.0790764347799347,0.014390093808785104,0.057126206966122736,0.11331157821977944,0.08,7.773836644063004e-4,7.773836644063004e-4,TRUE,0.056185371253656705,High,2,low
eta_SE,0.0751030408592043,0.0745316444024075,0.012874454232284943,0.051760807117973276,0.10152824469743052,0.08,-0.004896959140795701,0.004896959140795701,TRUE,0.049767437579457244,High,2,low
eta_SI,0.07439654297892567,0.07305294846881913,0.01397185828764459,0.05189194663075168,0.10642333165993587,0.05,0.02439654297892567,0.02439654297892567,FALSE,0.054531385029184185,High,2,low
eta_SR,0.07727823987228975,0.07727235831253645,0.012246637657945234,0.05392998770403952,0.10268333218870637,0.08,-0.0027217601277102488,0.0027217601277102488,TRUE,0.04875334448466685,High,2,low
eta_SS,0.07686791888293042,0.07559294726166396,0.012826035805150812,0.055654429858749035,0.10475223394237874,0.08,-0.003132081117069585,0.003132081117069585,TRUE,0.04909780408362971,High,2,low
gamma,0.2608882799987446,0.254150702589708,0.051083789233612606,0.17765474437100873,0.3782041433946738,0.25,0.010888279998744588,0.010888279998744588,TRUE,0.20054939902366506,High,2,low
kappa,0.38178838369849405,0.3704740232598178,0.07832239412381202,0.24135758940371943,0.5568364419548089,0.4,-0.018211616301505973,0.018211616301505973,TRUE,0.31547885255108943,High,2,low
p_E,0.623065170435059,0.6214673506590587,0.0411632701866146,0.5516372858177222,0.7002837406402385,0.6,0.023065170435059068,0.023065170435059068,TRUE,0.14864645482251626,High,2,low
p_I,0.8325368276165899,0.8341720594439429,0.03642588616291154,0.7619796878144592,0.8926101022141574,0.85,-0.017463172383410108,0.017463172383410108,TRUE,0.13063041439969814,High,2,low
s,0.9004972078080768,0.9008700376332706,0.008685349612098084,0.8848272169932786,0.9166584513643561,0.9,4.972078080768272e-4,4.972078080768272e-4,TRUE,0.03183123437107749,High,2,low
tau_EE,0.07351600697008898,0.07226504520749627,0.012471553649766747,0.05134625912075492,0.09789702000002305,0.03,0.04351600697008898,0.04351600697008898,FALSE,0.046550760879268134,High,2,low
tau_EI,0.0746077269650937,0.07319111560543957,0.014098653204571657,0.05064534866573605,0.1034641158387652,0.03,0.0446077269650937,0.0446077269650937,FALSE,0.052818767173029156,High,2,low
tau_ER,0.073404996407622,0.07191414124932405,0.013892018029762516,0.050281302544959536,0.10218587019697144,0.03,0.04340499640762201,0.04340499640762201,FALSE,0.0519045676520119,High,2,low
tau_II,0.07493313972805885,0.07479250972799456,0.014206782448012083,0.04945517014131766,0.10182974781403688,0.07,0.0049331397280588385,0.0049331397280588385,TRUE,0.05237457767271922,High,2,low
tau_IR,0.07711367786512963,0.07526901424702027,0.014103216643483091,0.049523371751201535,0.10998050212289248,0.03,0.04711367786512963,0.04711367786512963,FALSE,0.06045713037169095,High,2,low
tau_RR,0.07466944373680426,0.07437673456166988,0.014446218823263622,0.04607918588152414,0.10264431575521432,0.03,0.04466944373680426,0.04466944373680426,FALSE,0.05656512987369018,High,2,low
tau_SE,0.07671104960190803,0.07543283181384669,0.01243330055854441,0.05604922611354528,0.10489851588502808,0.03,0.04671104960190803,0.04671104960190803,FALSE,0.0488492897714828,High,2,low
tau_SI,0.07502384908958243,0.07505790135893506,0.01347887331580422,0.05175157803572989,0.10524069910208372,0.06,0.01502384908958243,0.01502384908958243,TRUE,0.05348912106635383,High,2,low
tau_SR,0.07410198896286277,0.07230128831425711,0.014528240316608947,0.04899564539135493,0.10372601155034539,0.03,0.04410198896286277,0.04410198896286277,FALSE,0.054730366158990455,High,2,low
tau_SS,0.07738037825035414,0.07491882638751438,0.01564659847592492,0.05049721821735742,0.11302886787180819,0.03,0.04738037825035414,0.04738037825035414,FALSE,0.06253164965445077,High,2,low
xi,0.06364734081601288,0.06289790948825177,0.02133927980142542,0.02692746841732395,0.11478777444330475,0.05,0.013647340816012876,0.013647340816012876,TRUE,0.0878603060259808,High,2,low
beta,0.2705874774854338,0.2699401670198548,0.05259271695026846,0.17544057063047708,0.3704861758833924,0.3,-0.029412522514566164,0.029412522514566164,TRUE,0.1950456052529153,High,2,medium
c,0.9495209179581466,0.9502964479866162,0.005838259541801831,0.9381253785297783,0.9624650458375744,0.95,-4.7908204185331815e-4,4.7908204185331815e-4,TRUE,0.02433966730779613,High,2,medium
eta_EE,0.07633786799382981,0.07642833066924457,0.013574379801961014,0.04890155867908324,0.09985379028392735,0.08,-0.003662132006170188,0.003662132006170188,TRUE,0.05095223160484411,High,2,medium
eta_EI,0.07714134907613082,0.07660594354624323,0.01366559085666667,0.0501394422026018,0.10662804436822806,0.08,-0.00285865092386918,0.00285865092386918,TRUE,0.05648860216562626,High,2,medium
eta_ER,0.07457410012775652,0.07519645577215973,0.012795689845821225,0.04880559572560188,0.1016051588333248,0.08,-0.005425899872243484,0.005425899872243484,TRUE,0.05279956310772292,High,2,medium
eta_II,0.0758312042957439,0.07512468847051718,0.013061715621151519,0.05243117063574694,0.10249409356135197,0.04,0.0358312042957439,0.0358312042957439,FALSE,0.05006292292560503,High,2,medium
eta_IR,0.07481863505703033,0.07421791770005987,0.011776476681512158,0.053875660423794,0.0979653929001087,0.08,-0.005181364942969668,0.005181364942969668,TRUE,0.044089732476314696,High,2,medium
eta_RR,0.07707083408098059,0.07648036231045433,0.011822714353940937,0.05475394649691537,0.0985603812938301,0.08,-0.0029291659190194136,0.0029291659190194136,TRUE,0.043806434796914734,High,2,medium
eta_SE,0.07552046207384999,0.07583880702654569,0.012804781147858662,0.0505567261184006,0.0975504659786187,0.08,-0.0044795379261500096,0.0044795379261500096,TRUE,0.046993739860218105,High,2,medium
eta_SI,0.07828485485804747,0.07665291117039356,0.0133179447206194,0.05728765630411041,0.10668241700262737,0.05,0.028284854858047465,0.028284854858047465,FALSE,0.04939476069851696,High,2,medium
eta_SR,0.07771932650169026,0.07668995134703296,0.01444435720908064,0.05394494789408598,0.10866916840471261,0.08,-0.0022806734983097376,0.0022806734983097376,TRUE,0.05472422051062663,High,2,medium
eta_SS,0.075795638119704,0.07365857786683294,0.01459787019903404,0.0522468883490008,0.1087653639002242,0.08,-0.0042043618802960064,0.0042043618802960064,TRUE,0.056518475551223406,High,2,medium
gamma,0.25182093200750527,0.2551410177597832,0.045359943975272245,0.16803471539463777,0.33229914154908735,0.25,0.0018209320075052715,0.0018209320075052715,TRUE,0.16426442615444958,High,2,medium
kappa,0.38907548264018876,0.36691932192144794,0.11543570216400136,0.2426269661636187,0.6457878931020329,0.4,-0.010924517359811259,0.010924517359811259,TRUE,0.4031609269384142,High,2,medium
